Value of N,Comparisons of O(n),Comparisons of O(M + log n),Comparisons of O(log n)
100,12,14,0
200,26,28,0
300,26,28,0
400,46,48,0
500,54,56,0
600,58,60,0
700,75,77,0
800,70,72,0
900,97,99,0
1000,114,116,0
1100,108,110,0
1200,125,127,0
1300,129,131,0
1400,147,149,0
1500,161,163,0
1600,172,174,0
1700,166,168,0
1800,185,187,0
1900,186,188,0
2000,214,216,0
2100,210,212,0
2200,218,220,0
2300,223,225,0
2400,226,228,0
2500,270,272,0
2600,265,267,0
2700,243,245,0
2800,281,283,0
2900,301,303,0
3000,313,315,0
3100,296,298,0
3200,349,351,0
3300,327,329,0
3400,316,318,0
3500,329,331,0
3600,360,362,0
3700,381,383,0
3800,371,373,0
3900,399,401,0
4000,401,403,0
4100,393,395,0
4200,384,386,0
4300,423,425,0
4400,448,450,0
4500,422,424,0
4600,483,485,0
4700,472,474,0
4800,468,470,0
4900,549,551,0
5000,513,515,0
5100,501,503,0
5200,555,557,0
5300,550,552,0
5400,542,544,0
5500,552,554,0
5600,578,580,0
5700,554,556,0
5800,621,623,0
5900,550,552,0
6000,619,621,0
6100,637,639,0
6200,624,626,0
6300,643,645,0
6400,666,668,0
6500,636,638,0
6600,674,676,0
6700,639,641,0
6800,674,676,0
6900,721,723,0
7000,670,672,0
7100,697,699,0
7200,737,739,0
7300,759,761,0
7400,764,766,0
7500,749,751,0
7600,768,770,0
7700,798,800,0
7800,829,831,0
7900,826,828,0
8000,772,774,0
8100,767,769,0
8200,803,805,0
8300,816,818,0
8400,838,840,0
8500,887,889,0
8600,860,862,0
8700,937,939,0
8800,821,823,0
8900,883,885,0
9000,877,879,0
9100,918,920,0
9200,926,928,0
9300,959,961,0
9400,944,946,0
9500,935,937,0
9600,894,896,0
9700,936,938,0
9800,960,962,0
9900,1010,1012,0
10000,994,996,0
10100,927,929,0
10200,1022,1024,0
10300,1012,1014,0
10400,1051,1053,0
10500,1042,1044,0
10600,1082,1084,0
10700,1099,1101,0
10800,1118,1120,0
10900,1052,1054,0
11000,1134,1136,0
11100,1136,1138,0
11200,1101,1103,0
11300,1136,1138,0
11400,1132,1134,0
11500,1160,1162,0
11600,1116,1118,0
11700,1188,1190,0
11800,1194,1196,0
11900,1125,1127,0
12000,1191,1193,0
12100,1193,1195,0
12200,1252,1254,0
12300,1245,1247,0
12400,1274,1276,0
12500,1230,1232,0
12600,1243,1245,0
12700,1292,1294,0
12800,1284,1286,0
12900,1297,1299,0
13000,1297,1299,0
13100,1297,1299,0
13200,1342,1344,0
13300,1312,1314,0
13400,1296,1298,0
13500,1343,1345,0
13600,1356,1358,0
13700,1360,1362,0
13800,1422,1424,0
13900,1431,1433,0
14000,1416,1418,0
14100,1433,1435,0
14200,1460,1462,0
14300,1473,1475,0
14400,1431,1433,0
14500,1479,1481,0
14600,1541,1543,0
14700,1449,1451,0
14800,1437,1439,0
14900,1466,1468,0
15000,1505,1507,0
15100,1547,1549,0
15200,1540,1542,0
15300,1548,1550,0
15400,1549,1551,0
15500,1594,1596,0
15600,1521,1523,0
15700,1529,1531,0
15800,1606,1608,0
15900,1632,1634,0
16000,1553,1555,0
16100,1622,1624,0
16200,1658,1660,0
16300,1600,1602,0
16400,1624,1626,0
16500,1677,1679,0
16600,1627,1629,0
16700,1680,1682,0
16800,1684,1686,0
16900,1676,1678,0
17000,1674,1676,0
17100,1639,1641,0
17200,1765,1767,0
17300,1698,1700,0
17400,1774,1776,0
17500,1801,1803,0
17600,1769,1771,0
17700,1699,1701,0
17800,1770,1772,0
17900,1735,1737,0
18000,1712,1714,0
18100,1828,1830,0
18200,1800,1802,0
18300,1739,1741,0
18400,1875,1877,0
18500,1819,1821,0
18600,1866,1868,0
18700,1823,1825,0
18800,1914,1916,0
18900,1949,1951,0
19000,1924,1926,0
19100,1893,1895,0
19200,1918,1920,0
19300,1926,1928,0
19400,1984,1986,0
19500,1899,1901,0
19600,1938,1940,0
19700,1931,1933,0
19800,1981,1983,0
19900,1970,1972,0
20000,1987,1989,0
20100,2038,2040,0
20200,2036,2038,0
20300,2011,2013,0
20400,2079,2081,0
20500,2069,2071,0
20600,2036,2038,0
20700,2070,2072,0
20800,2108,2110,0
20900,2103,2105,0
21000,2017,2019,0
21100,2099,2101,0
21200,2200,2202,0
21300,2139,2141,0
21400,2100,2102,0
21500,2139,2141,0
21600,2197,2199,0
21700,2185,2187,0
21800,2152,2154,0
21900,2080,2082,0
22000,2250,2252,0
22100,2227,2229,0
22200,2273,2275,0
22300,2186,2188,0
22400,2194,2196,0
22500,2245,2247,0
22600,2333,2335,0
22700,2298,2300,0
22800,2280,2282,0
22900,2353,2355,0
23000,2341,2343,0
23100,2198,2200,0
23200,2264,2266,0
23300,2393,2395,0
23400,2371,2373,0
23500,2380,2382,0
23600,2449,2451,0
23700,2412,2414,0
23800,2369,2371,0
23900,2362,2364,0
24000,2451,2453,0
24100,2468,2470,0
24200,2463,2465,0
24300,2420,2422,0
24400,2441,2443,0
24500,2421,2423,0
24600,2466,2468,0
24700,2469,2471,0
24800,2453,2455,0
24900,2487,2489,0
25000,2528,2530,0
25100,2518,2520,0
25200,2517,2519,0
25300,2505,2507,0
25400,2542,2544,0
25500,2497,2499,0
25600,2566,2568,0
25700,2540,2542,0
25800,2552,2554,0
25900,2602,2604,0
26000,2556,2558,0
26100,2680,2682,0
26200,2658,2660,0
26300,2722,2724,0
26400,2612,2614,0
26500,2696,2698,0
26600,2752,2754,0
26700,2636,2638,0
26800,2686,2688,0
26900,2688,2690,0
27000,2694,2696,0
27100,2599,2601,0
27200,2718,2720,0
27300,2699,2701,0
27400,2713,2715,0
