Value of N, Comparisons of O(n), Comparisons of O(M + log n), Comparisons of O(log n)
100,31,7,0
200,62,8,0
300,98,9,0
400,121,9,0
500,165,13,0
600,188,13,0
700,215,14,0
800,240,13,0
900,279,13,0
1000,322,14,0
1100,331,22,0
1200,389,19,0
1300,406,19,0
1400,413,18,0
1500,452,23,0
1600,489,24,0
1700,501,21,0
1800,542,27,0
1900,590,23,0
2000,575,17,0
2100,651,31,0
2200,625,23,0
2300,656,36,0
2400,758,31,0
2500,722,26,0
2600,784,38,0
2700,805,26,0
2800,892,26,0
2900,897,39,0
3000,894,39,0
3100,953,47,0
3200,968,39,0
3300,979,36,0
3400,1021,44,0
3500,1055,45,0
3600,1069,45,0
3700,1115,40,0
3800,1199,34,0
3900,1148,47,0
4000,1189,46,0
4100,1212,45,0
4200,1264,41,0
4300,1277,54,0
4400,1264,44,0
4500,1325,49,0
4600,1406,60,0
4700,1400,52,0
4800,1483,64,0
4900,1428,53,0
5000,1475,55,0
5100,1552,68,0
5200,1535,60,0
5300,1611,64,0
5400,1561,61,0
5500,1612,70,0
5600,1676,61,0
5700,1743,54,0
5800,1759,64,0
5900,1739,74,0
6000,1790,80,0
6100,1816,68,0
6200,1846,63,0
6300,1936,72,0
6400,1951,60,0
6500,1990,76,0
6600,2016,83,0
6700,2024,90,0
6800,2041,85,0
6900,2027,76,0
7000,2056,76,0
7100,2067,72,0
7200,2150,70,0
7300,2240,74,0
7400,2230,92,0
7500,2264,88,0
7600,2285,94,0
7700,2315,97,0
7800,2326,108,0
7900,2434,90,0
8000,2389,84,0
8100,2448,88,0
8200,2482,90,0
8300,2483,72,0
8400,2427,105,0
8500,2469,87,0
8600,2553,87,0
8700,2601,73,0
8800,2620,104,0
8900,2652,81,0
9000,2609,82,0
9100,2738,110,0
9200,2725,94,0
9300,2751,92,0
9400,2847,98,0
9500,2858,119,0
9600,2863,102,0
9700,2895,111,0
9800,2956,98,0
9900,2982,121,0
10000,3011,129,0
10100,2945,118,0
10200,3117,104,0
10300,3057,98,0
10400,3136,99,0
10500,3161,110,0
10600,3148,103,0
10700,3230,122,0
10800,3263,110,0
10900,3202,124,0
11000,3348,99,0
11100,3297,124,0
11200,3314,129,0
11300,3347,122,0
11400,3454,132,0
11500,3475,125,0
11600,3307,103,0
11700,3510,127,0
11800,3576,123,0
11900,3613,120,0
12000,3568,138,0
12100,3635,124,0
12200,3719,131,0
12300,3599,131,0
12400,3702,132,0
12500,3767,122,0
12600,3781,131,0
12700,3807,155,0
12800,3798,123,0
12900,3790,126,0
13000,3912,116,0
13100,3913,138,0
13200,3840,137,0
13300,3931,132,0
13400,4058,126,0
13500,3951,134,0
13600,4111,153,0
13700,4049,141,0
13800,4125,144,0
13900,4188,139,0
14000,4063,139,0
14100,4297,166,0
14200,4198,147,0
14300,4241,147,0
14400,4309,149,0
14500,4366,160,0
14600,4387,143,0
14700,4302,137,0
14800,4413,171,0
14900,4450,166,0
15000,4522,155,0
15100,4392,149,0
15200,4535,171,0
15300,4466,138,0
15400,4649,168,0
15500,4649,180,0
15600,4776,167,0
15700,4746,156,0
15800,4782,192,0
15900,4781,169,0
16000,4759,164,0
16100,4798,158,0
16200,4868,188,0
16300,4892,175,0
16400,4927,175,0
16500,4931,177,0
16600,4907,145,0
16700,4951,198,0
16800,4923,182,0
16900,5232,189,0
17000,5142,177,0
17100,5158,179,0
17200,5284,184,0
17300,5230,180,0
17400,5277,195,0
17500,5165,200,0
17600,5311,166,0
17700,5378,181,0
17800,5293,166,0
17900,5322,177,0
18000,5498,177,0
18100,5511,199,0
18200,5507,169,0
18300,5558,185,0
18400,5564,193,0
18500,5485,206,0
18600,5602,190,0
18700,5536,220,0
18800,5672,190,0
18900,5684,201,0
19000,5746,180,0
19100,5701,210,0
19200,5851,203,0
19300,5849,202,0
19400,5870,199,0
19500,6000,192,0
19600,5999,205,0
19700,5905,201,0
19800,5849,176,0
19900,5984,184,0
20000,5943,194,0
20100,5932,207,0
20200,6070,200,0
20300,6088,208,0
20400,6135,227,0
20500,6098,221,0
20600,6266,197,0
20700,6221,196,0
20800,6109,209,0
20900,6173,209,0
21000,6240,214,0
21100,6387,243,0
21200,6572,240,0
21300,6363,247,0
21400,6399,219,0
21500,6467,216,0
21600,6500,207,0
21700,6469,252,0
21800,6540,219,0
21900,6605,236,0
22000,6635,226,0
22100,6606,231,0
22200,6651,234,0
22300,6617,232,0
22400,6632,237,0
22500,6669,239,0
22600,6794,222,0
22700,6778,247,0
22800,6905,277,0
22900,6923,238,0
23000,6971,232,0
23100,6933,221,0
23200,6984,262,0
23300,6954,236,0
23400,6942,236,0
23500,7024,291,0
23600,7044,249,0
23700,7129,234,0
23800,7216,255,0
23900,7229,280,0
24000,7178,231,0
24100,7192,258,0
24200,7241,224,0
24300,7174,245,0
24400,7417,247,0
24500,7492,264,0
24600,7243,256,0
24700,7464,247,0
24800,7505,288,0
24900,7466,257,0
25000,7617,244,0
25100,7394,260,0
25200,7659,270,0
25300,7755,290,0
25400,7559,261,0
25500,7640,243,0
25600,7678,264,0
25700,7572,259,0
25800,7762,266,0
25900,7742,270,0
26000,7820,285,0
26100,7812,279,0
26200,7914,284,0
26300,7821,273,0
26400,7933,281,0
26500,8095,290,0
26600,7975,247,0
26700,8097,295,0
26800,8060,266,0
26900,8134,287,0
27000,8150,266,0
27100,8173,260,0
27200,8140,283,0
27300,8074,279,0
27400,8236,270,0
27500,8167,283,0
27600,8302,255,0
27700,8355,260,0
27800,8248,270,0
27900,8306,284,0
28000,8456,274,0
28100,8355,277,0
28200,8434,273,0
28300,8446,263,0
28400,8482,289,0
28500,8678,276,0
28600,8621,285,0
28700,8631,278,0
28800,8581,294,0
28900,8677,326,0
29000,8693,272,0
29100,8777,298,0
29200,8881,337,0
29300,8863,274,0
29400,8787,313,0
29500,8736,294,0
29600,8917,306,0
29700,8896,288,0
29800,8939,318,0
29900,8944,317,0
30000,8914,289,0
30100,9045,327,0
30200,9075,306,0
30300,9105,304,0
30400,9131,354,0
30500,9136,308,0
30600,9093,322,0
30700,9322,315,0
30800,9317,341,0
30900,9205,327,0
31000,9512,297,0
31100,9420,345,0
31200,9560,313,0
31300,9419,314,0
31400,9345,304,0
31500,9375,339,0
31600,9507,349,0
31700,9546,355,0
31800,9521,302,0
31900,9570,322,0
32000,9502,299,0
32100,9779,322,0
32200,9569,351,0
32300,9717,331,0
32400,9748,320,0
32500,9824,329,0
32600,9810,345,0
32700,9844,329,0
32800,9810,321,0
32900,9717,317,0
33000,9860,333,0
33100,9775,313,0
33200,10047,334,0
33300,10044,361,0
33400,10009,334,0
33500,10150,338,0
33600,10205,339,0
33700,10222,341,0
33800,10299,321,0
33900,10276,338,0
34000,10240,408,0
34100,10176,365,0
34200,10196,358,0
34300,10239,385,0
34400,10235,346,0
34500,10223,352,0
34600,10311,344,0
34700,10413,331,0
34800,10262,365,0
34900,10446,346,0
35000,10664,377,0
35100,10303,322,0
35200,10626,342,0
35300,10550,363,0
35400,10774,392,0
35500,10505,339,0
35600,10613,313,0
35700,10757,364,0
35800,10834,351,0
35900,10905,358,0
36000,10845,388,0
36100,10874,374,0
36200,10959,355,0
36300,10793,385,0
36400,10906,353,0
36500,10892,328,0
36600,11119,391,0
36700,10977,354,0
36800,11206,398,0
36900,11079,389,0
37000,11358,364,0
37100,11164,367,0
37200,11334,367,0
37300,11143,392,0
37400,11363,394,0
37500,11298,390,0
37600,11213,388,0
37700,11203,392,0
37800,11299,406,0
37900,11364,385,0
38000,11328,352,0
38100,11468,384,0
38200,11370,387,0
38300,11587,421,0
38400,11483,364,0
38500,11509,390,0
38600,11583,416,0
38700,11446,380,0
38800,11501,406,0
38900,11617,391,0
39000,11819,408,0
39100,11782,386,0
39200,11682,421,0
39300,11722,356,0
39400,11946,410,0
39500,11918,404,0
39600,11818,388,0
39700,11773,392,0
39800,11810,385,0
39900,12173,412,0
40000,12077,443,0
40100,12126,422,0
40200,12184,418,0
40300,12086,417,0
40400,12194,430,0
40500,12097,422,0
40600,12281,417,0
40700,12216,392,0
40800,12265,411,0
40900,12304,426,0
41000,12269,413,0
41100,12070,409,0
41200,12523,412,0
41300,12464,420,0
41400,12391,448,0
41500,12520,433,0
41600,12521,433,0
41700,12440,447,0
41800,12699,401,0
41900,12645,465,0
42000,12538,429,0
42100,12620,419,0
42200,12732,485,0
42300,12720,461,0
42400,12748,422,0
42500,12691,407,0
42600,12824,452,0
42700,12917,425,0
42800,12939,429,0
42900,12931,418,0
43000,12868,461,0
43100,12898,461,0
43200,13058,426,0
43300,12944,430,0
43400,12995,453,0
43500,13081,421,0
43600,13100,445,0
43700,13098,423,0
43800,13013,489,0
43900,13485,452,0
44000,13268,452,0
44100,13323,462,0
44200,13189,479,0
44300,13359,417,0
44400,13247,485,0
44500,13454,483,0
44600,13477,416,0
44700,13394,436,0
44800,13528,468,0
44900,13543,451,0
45000,13667,482,0
45100,13461,410,0
45200,13467,440,0
45300,13527,493,0
45400,13483,448,0
45500,13633,448,0
45600,13669,462,0
45700,13779,466,0
45800,13709,469,0
45900,13774,482,0
46000,13893,463,0
46100,14000,454,0
46200,13722,466,0
46300,14042,512,0
46400,13892,458,0
46500,13932,465,0
46600,13944,482,0
46700,13926,458,0
46800,14142,429,0
46900,14000,476,0
47000,14013,488,0
47100,14096,470,0
47200,14117,451,0
47300,14333,479,0
47400,14284,502,0
47500,14431,496,0
47600,14343,500,0
47700,14346,484,0
47800,14360,482,0
47900,14310,514,0
48000,14477,486,0
48100,14496,479,0
48200,14509,479,0
48300,14670,499,0
48400,14561,494,0
48500,14637,510,0
48600,14709,496,0
48700,14987,504,0
48800,14714,457,0
48900,14862,484,0
49000,14619,505,0
49100,14510,463,0
49200,14707,522,0
49300,14752,527,0
49400,14940,519,0
49500,14755,505,0
49600,14731,502,0
49700,14702,515,0
49800,15064,501,0
49900,15058,538,0
50000,15154,516,0
50100,14869,464,0
50200,15083,522,0
50300,15084,507,0
50400,15245,511,0
50500,15061,509,0
50600,15120,516,0
50700,15281,567,0
50800,15136,535,0
50900,15208,485,0
51000,15335,520,0
51100,15396,518,0
51200,15491,504,0
51300,15428,536,0
51400,15304,507,0
51500,15403,480,0
51600,15385,543,0
51700,15557,533,0
51800,15493,538,0
51900,15640,500,0
52000,15616,536,0
52100,15456,515,0
52200,15595,500,0
52300,15783,542,0
52400,15874,518,0
52500,15686,553,0
52600,15817,485,0
52700,15785,521,0
52800,15914,545,0
52900,16152,481,0
53000,15796,548,0
53100,15851,558,0
53200,15845,519,0
53300,15872,553,0
53400,16070,572,0
53500,15961,526,0
53600,16131,567,0
53700,16180,551,0
53800,16094,572,0
53900,16241,534,0
54000,15984,567,0
54100,16241,547,0
54200,16141,549,0
54300,16156,511,0
54400,16538,558,0
54500,16288,547,0
54600,16291,537,0
54700,16583,534,0
54800,16441,546,0
54900,16613,543,0
55000,16627,560,0
55100,16485,548,0
55200,16341,558,0
55300,16606,565,0
55400,16642,568,0
55500,16611,579,0
55600,16727,558,0
55700,16637,578,0
55800,16729,561,0
55900,16829,530,0
56000,17046,554,0
56100,16831,591,0
56200,16850,579,0
56300,16831,572,0
56400,16859,581,0
56500,17025,611,0
56600,16995,566,0
56700,16989,612,0
56800,17102,571,0
56900,16957,595,0
57000,17102,537,0
57100,17182,540,0
57200,17181,573,0
57300,17352,605,0
57400,17235,592,0
57500,17321,561,0
57600,17381,566,0
57700,17128,576,0
57800,17352,566,0
57900,17389,609,0
58000,17383,602,0
58100,17454,597,0
58200,17561,605,0
58300,17511,592,0
58400,17416,544,0
58500,17462,627,0
58600,17654,588,0
58700,17657,601,0
58800,17631,603,0
58900,17775,605,0
59000,17810,563,0
59100,17683,621,0
59200,17884,586,0
59300,17829,557,0
59400,17925,603,0
59500,17909,603,0
59600,18035,574,0
59700,17882,618,0
