Value of N,Comparisons of O(n),Comparisons of O(M + log n),Comparisons of O(log n)
100,62,13,0
200,126,18,0
300,177,33,0
400,237,39,0
500,283,47,0
600,352,62,0
700,427,94,0
800,506,83,0
900,552,95,0
1000,603,92,0
1100,654,107,0
1200,734,118,0
1300,795,135,0
1400,887,151,0
1500,889,157,0
1600,970,146,0
1700,1007,164,0
1800,1097,187,0
1900,1166,200,0
2000,1207,210,0
2100,1325,207,0
2200,1330,235,0
2300,1391,244,0
2400,1482,257,0
2500,1489,264,0
2600,1571,276,0
2700,1649,292,0
2800,1695,262,0
2900,1721,277,0
3000,1829,310,0
3100,1868,325,0
3200,1933,286,0
3300,2039,372,0
3400,2005,338,0
3500,2096,373,0
3600,2142,382,0
3700,2230,354,0
3800,2292,382,0
3900,2351,403,0
4000,2428,363,0
4100,2479,435,0
4200,2455,434,0
4300,2578,429,0
4400,2634,459,0
4500,2713,407,0
4600,2712,437,0
4700,2882,493,0
4800,2925,494,0
4900,2971,480,0
5000,3068,525,0
5100,3110,544,0
5200,3157,543,0
5300,3165,506,0
5400,3220,563,0
5500,3345,576,0
5600,3347,591,0
5700,3441,587,0
5800,3570,592,0
5900,3525,607,0
6000,3638,607,0
6100,3637,596,0
6200,3809,637,0
6300,3817,626,0
6400,3867,668,0
6500,3916,646,0
6600,3911,655,0
6700,4001,699,0
6800,4123,683,0
6900,4116,674,0
7000,4205,705,0
7100,4292,750,0
7200,4436,734,0
7300,4339,699,0
7400,4414,756,0
7500,4505,741,0
7600,4604,761,0
7700,4630,709,0
7800,4609,785,0
7900,4736,812,0
8000,4776,840,0
8100,4929,875,0
8200,4894,782,0
8300,4931,802,0
8400,5030,808,0
8500,5038,884,0
8600,5148,863,0
8700,5143,849,0
8800,5187,856,0
8900,5325,877,0
9000,5386,892,0
9100,5466,920,0
9200,5566,965,0
9300,5592,965,0
9400,5612,926,0
9500,5719,935,0
9600,5869,982,0
9700,5795,942,0
9800,5855,979,0
9900,5877,1031,0
10000,5964,1011,0
10100,6163,979,0
10200,6175,1014,0
10300,6119,986,0
10400,6205,1082,0
10500,6313,1077,0
10600,6379,1085,0
10700,6402,1048,0
10800,6474,1084,0
10900,6545,1102,0
11000,6641,1101,0
11100,6622,1122,0
11200,6791,1138,0
11300,6787,1142,0
11400,6854,1116,0
11500,6818,1149,0
11600,6937,1162,0
11700,7011,1227,0
11800,7106,1190,0
11900,7166,1188,0
12000,7206,1252,0
12100,7226,1237,0
12200,7374,1212,0
12300,7437,1235,0
12400,7439,1201,0
12500,7473,1213,0
12600,7488,1250,0
12700,7664,1337,0
12800,7672,1304,0
12900,7767,1311,0
13000,7747,1250,0
13100,7872,1337,0
13200,8024,1323,0
13300,7912,1420,0
13400,7998,1358,0
13500,8104,1333,0
13600,8244,1400,0
13700,8220,1414,0
13800,8255,1360,0
13900,8284,1336,0
14000,8410,1414,0
14100,8482,1461,0
14200,8475,1425,0
14300,8591,1410,0
14400,8666,1467,0
14500,8772,1529,0
14600,8689,1418,0
14700,8760,1460,0
14800,8940,1531,0
14900,9029,1545,0
15000,8936,1497,0
15100,9074,1599,0
15200,9182,1516,0
15300,9259,1483,0
15400,9169,1521,0
15500,9217,1576,0
15600,9438,1578,0
15700,9449,1548,0
15800,9426,1544,0
15900,9490,1573,0
16000,9456,1537,0
16100,9661,1582,0
16200,9756,1605,0
16300,9827,1589,0
16400,9788,1634,0
16500,9853,1634,0
16600,9895,1602,0
16700,9938,1700,0
16800,10147,1783,0
16900,10132,1662,0
17000,10198,1674,0
17100,10220,1680,0
17200,10219,1693,0
17300,10445,1749,0
17400,10554,1718,0
17500,10359,1666,0
17600,10521,1758,0
17700,10710,1792,0
17800,10648,1846,0
17900,10679,1760,0
18000,10801,1771,0
18100,10888,1833,0
18200,10934,1775,0
18300,11000,1868,0
18400,11088,1889,0
18500,11121,1931,0
18600,11183,1871,0
18700,11331,1944,0
18800,11484,1938,0
18900,11456,1929,0
19000,11447,1873,0
19100,11526,1916,0
19200,11439,1876,0
19300,11502,1868,0
19400,11620,1943,0
19500,11689,1881,0
19600,11659,1967,0
19700,11805,1980,0
19800,11838,1912,0
19900,11811,1980,0
20000,12070,2022,0
20100,12075,1977,0
20200,12137,2001,0
20300,12167,2045,0
20400,12353,2019,0
20500,12314,2031,0
20600,12230,1988,0
20700,12416,2131,0
20800,12559,2141,0
20900,12501,2084,0
21000,12682,2152,0
21100,12630,2053,0
21200,12670,2118,0
21300,12907,2138,0
21400,12854,2115,0
21500,12822,2127,0
21600,12940,2180,0
21700,12966,2199,0
21800,13226,2165,0
21900,13163,2209,0
22000,13143,2271,0
22100,13318,2216,0
22200,13303,2218,0
22300,13414,2165,0
22400,13412,2161,0
22500,13482,2243,0
22600,13473,2218,0
22700,13547,2264,0
22800,13680,2184,0
22900,13726,2298,0
23000,13821,2308,0
23100,13898,2339,0
23200,13960,2277,0
23300,13921,2332,0
23400,13960,2295,0
23500,14209,2350,0
23600,14006,2306,0
23700,14303,2398,0
23800,14259,2348,0
23900,14530,2387,0
24000,14318,2436,0
24100,14466,2426,0
24200,14512,2428,0
24300,14609,2460,0
24400,14739,2389,0
24500,14656,2507,0
24600,14838,2418,0
24700,14819,2454,0
24800,14661,2456,0
24900,14868,2419,0
25000,14941,2526,0
25100,15109,2459,0
25200,15146,2566,0
25300,15101,2537,0
25400,15312,2570,0
25500,15397,2632,0
25600,15364,2606,0
25700,15499,2619,0
25800,15438,2483,0
25900,15546,2688,0
26000,15695,2602,0
26100,15639,2540,0
26200,15748,2581,0
26300,15820,2623,0
26400,15890,2624,0
26500,15962,2661,0
26600,16085,2662,0
26700,16086,2708,0
26800,16142,2739,0
26900,16167,2695,0
27000,16156,2710,0
27100,16404,2652,0
27200,16364,2739,0
27300,16429,2776,0
27400,16447,2770,0
27500,16485,2673,0
27600,16513,2718,0
27700,16413,2726,0
27800,16690,2740,0
27900,16762,2816,0
28000,16756,2807,0
28100,16790,2845,0
28200,17004,2892,0
28300,17065,2867,0
28400,17079,2855,0
28500,16984,2824,0
28600,17146,2899,0
28700,17162,2929,0
28800,17440,2885,0
28900,17309,2917,0
29000,17425,2895,0
29100,17452,2935,0
29200,17583,2941,0
29300,17592,2884,0
29400,17760,2894,0
29500,17702,2874,0
29600,17858,2972,0
29700,17924,2924,0
29800,17847,3037,0
29900,17871,3075,0
30000,18035,2998,0
30100,17978,2973,0
30200,18146,2984,0
30300,18016,2889,0
30400,18149,3003,0
30500,18531,3088,0
30600,18386,3101,0
30700,18376,3147,0
30800,18635,3160,0
30900,18516,3050,0
31000,18627,3119,0
31100,18541,3134,0
31200,18769,3153,0
31300,18682,3115,0
31400,18796,3154,0
31500,18783,3011,0
31600,19129,3242,0
31700,19045,3185,0
31800,18877,3173,0
31900,18978,3185,0
32000,19321,3231,0
32100,19229,3226,0
32200,19308,3252,0
32300,19494,3288,0
32400,19388,3174,0
32500,19480,3207,0
32600,19584,3335,0
32700,19721,3365,0
32800,19741,3314,0
32900,19817,3288,0
33000,19826,3335,0
33100,19885,3250,0
33200,19978,3327,0
33300,20004,3295,0
33400,20071,3317,0
33500,20003,3260,0
33600,20055,3302,0
33700,20202,3384,0
33800,20161,3282,0
33900,20350,3406,0
34000,20297,3357,0
34100,20545,3420,0
34200,20638,3444,0
34300,20698,3438,0
34400,20550,3368,0
34500,20666,3339,0
34600,20629,3493,0
34700,20657,3394,0
34800,20943,3401,0
34900,20820,3498,0
35000,21178,3548,0
35100,21192,3564,0
35200,21226,3509,0
35300,21252,3452,0
35400,21177,3528,0
35500,21318,3607,0
35600,21444,3657,0
35700,21363,3478,0
35800,21416,3593,0
35900,21604,3617,0
36000,21643,3618,0
36100,21545,3566,0
36200,21800,3701,0
36300,21875,3700,0
36400,21855,3735,0
36500,21798,3688,0
36600,21775,3708,0
36700,21969,3608,0
36800,22080,3732,0
36900,22146,3682,0
37000,22246,3680,0
37100,22102,3709,0
37200,22241,3687,0
37300,22358,3762,0
37400,22458,3733,0
37500,22520,3787,0
37600,22529,3734,0
37700,22540,3830,0
37800,22668,3722,0
37900,22720,3812,0
38000,22708,3715,0
38100,22716,3754,0
38200,23067,3893,0
38300,23056,3830,0
38400,23144,3856,0
38500,23060,3848,0
38600,23204,3833,0
38700,23107,3883,0
38800,23269,3871,0
38900,23357,3818,0
39000,23358,3942,0
39100,23486,3964,0
39200,23578,3971,0
39300,23575,4045,0
39400,23755,3875,0
39500,23710,3930,0
39600,23641,3853,0
39700,23935,3992,0
39800,23894,3925,0
39900,23933,4095,0
40000,23984,3974,0
40100,24098,3962,0
40200,23985,3986,0
40300,24150,4083,0
40400,24210,4064,0
40500,24307,3952,0
40600,24267,4061,0
40700,24424,4088,0
40800,24453,4073,0
40900,24653,4155,0
41000,24660,4161,0
41100,24780,4079,0
41200,24850,4141,0
41300,24783,4136,0
41400,24990,4160,0
41500,25060,4183,0
41600,25115,4265,0
41700,24974,4198,0
41800,25123,4279,0
41900,24921,4215,0
42000,25223,4180,0
42100,25256,4112,0
42200,25332,4317,0
42300,25242,4208,0
42400,25394,4243,0
42500,25501,4184,0
42600,25563,4296,0
42700,25636,4293,0
42800,25576,4297,0
42900,25708,4298,0
43000,25876,4315,0
43100,25883,4344,0
43200,25893,4269,0
43300,26047,4305,0
43400,25867,4363,0
43500,26127,4352,0
43600,26166,4382,0
43700,26246,4351,0
43800,26208,4456,0
43900,26407,4403,0
44000,26385,4383,0
